date,market cap,btc cap,alt cap,eth cap,btc share,alt share,eth share
2016-08-05,11254950928.0,9133689856.0,2121261072.0,910856000.0,81.1526404195798,18.847359580420196,8.092936218264425
2016-08-08,11494217387.0,9365440512.0,2128776875.0,903184000.0,81.47958400884558,18.520415991154422,7.857725059398166
2016-08-09,11495142466.0,9339660288.0,2155482178.0,933430976.0,81.24875629531846,18.751243704681546,8.120221030412413
2016-08-10,11496628125.0,9286960128.0,2209667997.0,1012910016.0,80.7798602079251,19.220139792074907,8.810496477635699
2016-08-11,11527994303.0,9358770176.0,2169224127.0,1005720000.0,81.18298751730396,18.817012482696054,8.724154207278497
2016-08-12,11440820317.0,9307249664.0,2133570653.0,968865024.0,81.35124410764749,18.648755892352504,8.468492618141694
2016-08-15,11142020113.0,9021179904.0,2120840209.0,929558016.0,80.96538879403475,19.03461120596525,8.342814019115206
2016-08-16,11077950347.0,8970770432.0,2107179915.0,932161984.0,80.97861202663142,19.021387973368572,8.414570880004323
2016-08-17,11242380176.0,9138029568.0,2104350608.0,924590976.0,81.2819832183551,18.718016781644906,8.224156820223866
2016-08-18,11149901757.0,9074759680.0,2075142077.0,892902976.0,81.38869631118311,18.61130368881689,8.008168999690318
2016-08-19,11168117290.0,9085819904.0,2082297386.0,893155968.0,81.354982832563,18.645017167437,7.9973727424920344
2016-08-22,11317473551.0,9199410176.0,2118063375.0,930707968.0,81.28501590522515,18.71498409477485,8.223637226152507
2016-08-23,11406685820.0,9286930432.0,2119755388.0,927065024.0,81.41655322632529,18.583446773674705,8.127382822927615
2016-08-24,11325930594.0,9234799616.0,2091130978.0,918038976.0,81.53678445541779,18.463215544582205,8.105638370116255
2016-08-25,11249854287.0,9184700416.0,2065153871.0,918977024.0,81.64283893537687,18.357161064623128,8.168790462130188
2016-08-26,11206286135.0,9147169792.0,2059116343.0,946092032.0,81.62534564802098,18.37465435197903,8.44251182419054
2016-08-29,11146327891.0,9091829760.0,2054498131.0,910697984.0,81.56793743113474,18.432062568865266,8.170385735156191
2016-08-30,11195414924.0,9093529600.0,2101885324.0,917473984.0,81.22548080380554,18.774519196194465,8.195086919317115
2016-08-31,11258652331.0,9149729792.0,2108922539.0,938406016.0,81.26842825412405,18.73157174587595,8.334976411130107
2016-09-01,11253584688.0,9118279680.0,2135305008.0,974844032.0,81.02555703626656,18.97444296373344,8.662520068289906
2016-09-02,11223191702.0,9069549568.0,2153642134.0,999756992.0,80.81078724142068,19.189212758579323,8.907956119308208
2016-09-06,11842444890.0,9614140416.0,2228304474.0,981302976.0,81.18374630662942,18.816253693370573,8.286320815633536
2016-09-07,11883802938.0,9679609856.0,2204193082.0,979086976.0,81.45212358788105,18.547876412118942,8.238835506681472
2016-09-08,11934145466.0,9745120256.0,2189025210.0,967009984.0,81.6574616403289,18.342538359671106,8.102884171765634
2016-09-09,12109543450.0,9931979776.0,2177563674.0,956209984.0,82.01778883744787,17.98221116255213,7.896333895230377
2016-09-12,11784324041.0,9628560384.0,2155763657.0,976644992.0,81.7065140987326,18.293485901267402,8.28766239456806
2016-09-13,11837667017.0,9645930496.0,2191736521.0,997638016.0,81.48506358683294,18.51493641316706,8.427657363290404
2016-09-14,11858659159.0,9660080128.0,2198579031.0,999352000.0,81.46013810227936,18.53986189772064,8.427192202767314
2016-09-15,11884002523.0,9688939520.0,2195063003.0,1002969984.0,81.5292617217833,18.470738278216707,8.43966485246765
2016-09-16,11882984501.0,9637019648.0,2245964853.0,1004739968.0,81.09932018500072,18.90067981499928,8.455282996585977
2016-09-19,11930742664.0,9681959936.0,2248782728.0,1045870016.0,81.15136005082475,18.848639949175254,8.766176971998766
2016-09-20,11974614844.0,9673140224.0,2301474620.0,1111810048.0,80.78038709401015,19.219612905989848,9.284724915867198
2016-09-21,11991950450.0,9584260096.0,2407690354.0,1214950016.0,79.92244577695033,20.077554223049678,10.131379553857313
2016-09-22,11806910664.0,9485280256.0,2321630408.0,1150649984.0,80.33668184617679,19.663318153823205,9.745563566500108
2016-09-23,11759591257.0,9469129728.0,2290461529.0,1112589952.0,80.52260934123385,19.477390658766158,9.461127752528993
2016-09-26,11889909360.0,9545830400.0,2344078960.0,1110700032.0,80.28514020564408,19.71485979435591,9.341534896276114
2016-09-27,11958601651.0,9661589504.0,2297012147.0,1085330048.0,80.79196703731728,19.20803296268272,9.075727076411502
2016-09-28,11958298219.0,9634530304.0,2323767915.0,1106329984.0,80.56773737831801,19.43226262168199,9.25156710209988
2016-09-29,11983454249.0,9616159744.0,2367294505.0,1121059968.0,80.24530777344482,19.754692226555186,9.355065281728352
2016-09-30,11970581980.0,9628250112.0,2342331868.0,1104530048.0,80.43259824866092,19.567401751339077,9.227037163651755
2016-10-03,12007342591.0,9714979840.0,2292362751.0,1116600064.0,80.908658734213,19.091341265786994,9.29931044723366
2016-10-04,12041119358.0,9733329920.0,2307789438.0,1137980032.0,80.8340954907425,19.1659045092575,9.450782756703905
2016-10-05,11983075605.0,9705320448.0,2277755157.0,1124269952.0,80.99189864036579,19.008101359634207,9.382148532309124
2016-10-06,11978611458.0,9742369792.0,2236241666.0,1102940032.0,81.33137823327169,18.668621766728315,9.207578322973268
2016-10-07,11968893087.0,9745739776.0,2223153311.0,1088569984.0,81.42557298456717,18.574427015432825,9.094992962902719
2016-10-10,11965931479.0,9816269824.0,2149661655.0,1022860032.0,82.03514988555118,17.96485011444883,8.54810203280122
2016-10-11,11982147492.0,9855649792.0,2126497700.0,997948992.0,82.2527831390844,17.7472168609156,8.328632181053443
2016-10-12,12338129883.0,10200999936.0,2137129947.0,1000220032.0,82.67865578279712,17.32134421720287,8.106739363946442
2016-10-13,12255590200.0,10125100032.0,2130490168.0,1011190016.0,82.61617651021001,17.38382348978999,8.250847160343204
2016-10-14,12289777948.0,10141599744.0,2148178204.0,1018390016.0,82.5206101111893,17.479389888810708,8.28648019768111
2016-10-17,12364567538.0,10221299712.0,2143267826.0,1016710016.0,82.66605104130736,17.333948958692645,8.222770532615453
2016-10-18,12342732421.0,10183999488.0,2158732933.0,1020529984.0,82.51008885741443,17.489911142585566,8.268266289753345
2016-10-19,12373809032.0,10164799488.0,2209009544.0,1071710016.0,82.14769972376926,17.852300276230736,8.661116502028136
2016-10-20,12211769477.0,10046699520.0,2165069957.0,1025619968.0,82.27062866624075,17.72937133375925,8.398618807304564
2016-10-21,12239504464.0,10050299904.0,2189204560.0,1033139968.0,82.11361770046248,17.886382299537516,8.441027747804416
2016-10-24,12672478302.0,10473499648.0,2198978654.0,1026400000.0,82.64760371573924,17.352396284260767,8.099441763005514
2016-10-25,12601801777.0,10424299520.0,2177502257.0,1020849984.0,82.72070696291829,17.279293037081707,8.100825596726889
2016-10-26,12601843959.0,10483999744.0,2117844215.0,971440000.0,83.19417204426281,16.805827955737186,7.7087131308765
2016-10-27,12935794459.0,10812499968.0,2123294491.0,984361024.0,83.58589804646493,16.414101953535067,7.609590791813617
2016-10-28,13074712753.0,10969799680.0,2104913073.0,979916032.0,83.90088476309336,16.09911523690665,7.494742335927477
2016-10-31,13251040516.0,11207199744.0,2043840772.0,960008000.0,84.57599786573621,15.424002134263793,7.244774467641511
2016-11-01,13198086843.0,11187699712.0,2010387131.0,937123008.0,84.76758673499509,15.232413265004913,7.100445838459013
2016-11-02,13631391101.0,11647200256.0,1984190845.0,921691008.0,85.44395923865437,14.556040761345624,6.7615330025442875
2016-11-03,13835540770.0,11844299776.0,1991240994.0,924097024.0,85.60778341011675,14.392216589883244,6.679153633110937
2016-11-04,12966479044.0,10996400128.0,1970078916.0,926129024.0,84.80636949078618,15.193630509213815,7.142486567535457
2016-11-07,13375782011.0,11344799744.0,2030982267.0,934536000.0,84.81597363556197,15.184026364438036,6.986776543094486
2016-11-08,13248500417.0,11224000512.0,2024499905.0,930345024.0,84.7190259932948,15.2809740067052,7.022266631823588
2016-11-09,13358464015.0,11333000192.0,2025463823.0,928062976.0,84.83759943713858,15.16240056286142,6.947377894328969
2016-11-10,13544167077.0,11542099968.0,2002067109.0,915939968.0,85.2182338152059,14.78176618479409,6.762615691262415
2016-11-11,13418963791.0,11427200000.0,1991763791.0,902478976.0,85.15709691134377,14.842903088656229,6.725399889708965
2016-11-14,13189638698.0,11214600192.0,1975038506.0,867755008.0,85.02583314659344,14.974166853406556,6.5790657945132445
2016-11-15,13250975747.0,11283399680.0,1967576067.0,857222976.0,85.15146277099286,14.848537229007125,6.469130970933019
2016-11-16,13344146382.0,11370699776.0,1973446606.0,878609984.0,85.21114390155377,14.788856098446237,6.584235205821501
2016-11-17,13855733671.0,11911300096.0,1944433575.0,865393024.0,85.96657801622088,14.033421983779123,6.245739450169026
2016-11-18,13771504842.0,11845999616.0,1925505226.0,859571008.0,86.01819301455248,13.981806985447523,6.241663622544003
2016-11-21,13569136167.0,11698899968.0,1870236199.0,825380992.0,86.21698407339743,13.783015926602573,6.08278214502201
